gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
638124792	440	100	173	326	9	171	4.6e-41	140.2	pfam07724	AAA_2	171
638124792	440	100	332	426	1	63	2.9e-05	23.6	pfam10431	ClpB_D2-small	89
638124793	123	100	5	90	2	89	2.6e-30	104.3	pfam06155	DUF971	89
638124794	258	100	24	257	4	232	1.0e-89	299.3	pfam01209	Ubie_methyltran	233
638124795	209	100	13	111	2	76	3.1e-05	23.8	pfam02036	SCP2	102
638124796	553	100	112	231	2	118	3.0e-36	123.6	pfam03109	ABC1	119
638124797	628	100	71	342	19	251	8.7e-56	188.5	pfam02784	Orn_Arg_deC_N	251
638124797	628	100	345	558	3	116	3.3e-32	110.2	pfam00278	Orn_DAP_Arg_deC	116
638124798	286	100	6	252	2	239	8.2e-63	211.2	pfam01564	Spermine_synth	246
638124799	857	100	44	131	2	90	4.6e-21	74.4	pfam08447	PAS_3	91
638124799	857	100	155	291	3	154	1.7e-08	34.4	pfam01590	GAF	154
638124799	857	100	301	412	3	113	2.0e-16	59.4	pfam00989	PAS	113
638124799	857	100	426	581	1	160	3.3e-45	153.2	pfam00990	GGDEF	161
638124799	857	100	600	836	2	236	1.2e-72	243.9	pfam00563	EAL	236
638124800	185	100	49	177	1	133	1.4e-28	99.1	pfam06271	RDD	133
638124801	269	100	1	255	5	247	2.2e-52	177.4	pfam03649	UPF0014	250
638124802	216	100	41	163	3	118	5.4e-05	23.2	pfam00005	ABC_tran	118
638124803	914	100	114	261	19	146	3.7e-18	65.8	pfam03704	BTAD	146
638124804	416	100	14	407	3	399	2.5e-104	348.6	pfam00909	Ammonium_transp	399
638124805	112	100	4	105	1	102	1.7e-40	137.2	pfam00543	P-II	102
638124806	104	100	8	78	1	70	3.0e-26	90.9	pfam04380	DUF526	70
638124807	505	100	188	394	1	206	1.8e-96	320.9	pfam01078	Mg_chelatase	207
638124809	304	100	34	280	1	242	5.3e-40	137.1	pfam00696	AA_kinase	243
638124810	69	100	3	66	1	64	2.1e-29	100.9	pfam11146	DUF2905	64
638124811	221	100	48	216	3	172	2.3e-60	202.5	pfam06026	Rib_5-P_isom_A	173
638124812	504	100	14	306	5	297	2.5e-81	272.8	pfam00291	PALP	297
638124812	504	100	319	409	1	91	2.8e-25	87.4	pfam00585	Thr_dehydrat_C	91
638124812	504	100	414	503	5	91	8.4e-28	95.5	pfam00585	Thr_dehydrat_C	91
638124813	223	100	12	57	1	46	2.9e-09	36.1	pfam00440	TetR_N	47
638124814	347	100	37	125	2	77	3.0e-15	55.5	pfam04307	DUF457	77
638124816	494	100	56	178	2	123	4.8e-11	42.5	pfam01794	Ferric_reduct	125
638124816	494	100	225	322	21	98	3.2e-07	30	pfam00970	FAD_binding_6	99
638124816	494	100	332	442	1	108	1.2e-18	67.3	pfam00175	NAD_binding_1	109
638124817	471	100	11	249	4	257	2.5e-14	52.5	pfam07690	MFS_1	353
638124819	177	100	13	101	2	90	5.7e-22	77.4	pfam02357	NusG	92
638124820	131	100	6	128	2	122	5.9e-40	135.5	pfam04247	SirB	123
638124821	255	100	27	161	3	132	5.8e-44	148.9	pfam00899	ThiF	136
638124821	255	100	166	250	3	82	1.5e-26	91.5	pfam05237	MoeZ_MoeB	84
638124822	559	100	221	280	2	57	2.4e-14	52.7	pfam01471	PG_binding_1	57
638124822	559	100	307	501	1	111	9.6e-18	64.2	pfam03734	YkuD	116
638124823	284	100	55	270	13	197	3.4e-06	26.5	pfam00089	Trypsin	219
638124824	232	100	194	219	2	25	1.0e-07	31.2	pfam07589	VPEP	25
638124826	479	100	17	296	2	246	6.1e-58	195.7	pfam00483	NTP_transferase	248
638124826	479	100	324	474	2	151	1.8e-63	212.4	pfam01050	MannoseP_isomer	151
638124831	247	100	57	149	1	94	4.3e-22	78	pfam08241	Methyltransf_11	95
638124833	1122	100	12	146	33	122	2.4e-09	36.9	pfam04892	VanZ	133
638124834	272	100	239	264	1	25	8.4e-09	34.6	pfam07589	VPEP	25
638124835	384	100	27	372	2	345	2.5e-102	341.8	pfam02350	Epimerase_2	346
638124836	316	100	69	274	2	123	2.8e-26	91.2	pfam01522	Polysacc_deac_1	124
638124837	167	100	19	161	2	150	9.8e-21	73.5	pfam00719	Pyrophosphatase	156
638124838	334	100	4	171	3	123	7.9e-07	28.4	pfam01522	Polysacc_deac_1	124
638124841	339	100	16	186	2	163	5.1e-21	74.7	pfam00535	Glycos_transf_2	169
638124842	421	100	161	262	2	99	2.9e-25	88.2	pfam01610	Transposase_12	100
638124843	466	100	214	357	2	163	3.6e-14	52.5	pfam04932	Wzy_C	163
638124846	628	100	17	302	2	245	9.1e-11	41.3	pfam00664	ABC_membrane	275
638124846	628	100	401	529	1	118	2.1e-22	79.4	pfam00005	ABC_tran	118
638124849	533	100	32	454	2	417	1.3e-103	346.2	pfam00501	AMP-binding	418
638124850	411	100	44	295	7	250	1.1e-42	145.7	pfam02784	Orn_Arg_deC_N	251
638124850	411	100	298	411	2	115	1.2e-16	60.1	pfam00278	Orn_DAP_Arg_deC	116
638124853	562	100	179	497	37	207	1.5e-11	43.7	pfam01609	Transposase_11	207
638124854	268	100	55	265	131	380	3.7e-32	111.1	pfam02274	Amidinotransf	382
638124855	540	100	36	466	1	417	1.1e-86	290.5	pfam00501	AMP-binding	418
638124856	597	100	12	92	10	76	9.2e-07	28.3	pfam12146	Hydrolase_4	79
638124856	597	100	284	442	1	111	1.9e-36	124.9	pfam00535	Glycos_transf_2	169
638124857	95	100	16	88	2	67	2.9e-07	30.3	pfam00550	PP-binding	67
638124858	618	100	221	533	1	269	4.7e-58	196.4	pfam00733	Asn_synthase	269
638124859	450	100	110	333	204	340	1.9e-06	26.1	pfam00501	AMP-binding	418
638124860	417	100	210	384	2	165	5.6e-36	123.2	pfam00534	Glycos_transf_1	172
638124861	411	100	207	380	13	159	4.9e-34	116.9	pfam00534	Glycos_transf_1	172
638124862	631	100	243	559	2	269	2.4e-73	246.6	pfam00733	Asn_synthase	269
638124863	402	100	200	367	11	172	4.8e-37	126.7	pfam00534	Glycos_transf_1	172
638124864	524	100	26	283	2	263	1.5e-65	220.7	pfam09721	Exosortase_EpsH	264
638124864	524	100	310	519	3	203	1.6e-41	141.3	pfam11984	DUF3485	206
638124865	417	100	224	378	67	159	7.2e-05	21.9	pfam00534	Glycos_transf_1	172
638124866	350	100	218	308	301	379	2.9e-05	22.6	pfam02388	FemAB	406
638124867	310	100	15	160	18	123	1.5e-20	72.7	pfam01522	Polysacc_deac_1	124
638124867	310	100	161	293	1	132	4.7e-57	190.8	pfam11959	DUF3473	134
638124868	349	100	45	207	3	163	2.1e-05	23.9	pfam05729	NACHT	166
638124869	510	100	39	179	14	110	1.6e-08	33.3	pfam10082	DUF2320	381
638124870	318	100	130	298	11	140	5.2e-06	25.6	pfam01656	CbiA	194
638124871	503	100	10	150	13	150	6.3e-12	45.2	pfam02706	Wzz	152
638124872	190	100	108	190	1	88	5.0e-10	39	pfam07238	PilZ	102
638124875	300	100	26	162	1	132	1.5e-31	108.7	pfam00899	ThiF	136
638124876	269	100	56	149	139	198	3.0e-06	26	pfam07044	DUF1329	367
638124878	751	100	98	382	58	314	7.5e-08	31.1	pfam03176	MMPL	333
638124878	751	100	422	751	99	306	1.1e-16	60.2	pfam03176	MMPL	333
638124880	955	100	499	532	4	34	1.6e-05	24.1	pfam07719	TPR_2	34
638124881	448	100	7	120	1	110	4.4e-17	61.7	pfam00072	Response_reg	112
638124881	448	100	146	313	2	167	4.7e-70	234	pfam00158	Sigma54_activat	168
638124881	448	100	404	445	2	37	3.2e-09	35.8	pfam02954	HTH_8	42
638124882	684	100	382	447	106	152	2.2e-04	21	pfam01590	GAF	154
638124882	684	100	567	674	2	110	7.3e-21	73.6	pfam02518	HATPase_c	111
638124883	465	100	276	465	1	186	1.6e-71	239	pfam02397	Bac_transf	187
638124884	208	100	33	115	7	82	1.4e-24	85.2	pfam02563	Poly_export	83
638124885	212	100	117	196	1	85	1.6e-08	34.1	pfam07238	PilZ	102
638124886	247	100	73	238	2	155	3.3e-34	117.3	pfam02698	DUF218	155
638124887	331	100	3	251	1	238	1.5e-61	207.5	pfam01370	Epimerase	238
638124888	437	100	22	136	2	113	2.6e-10	39.7	pfam00989	PAS	113
638124888	437	100	157	267	2	109	1.1e-13	50.8	pfam08448	PAS_4	110
638124888	437	100	276	429	1	161	1.4e-45	154.4	pfam00990	GGDEF	161
638124889	294	100	2	272	1	282	5.2e-89	297.8	pfam01430	HSP33	282
638124890	478	100	4	291	1	289	1.3e-121	404.5	pfam02934	GatB_N	289
638124890	478	100	328	476	1	149	2.4e-56	189.3	pfam02637	GatB_Yqey	149
638124891	484	100	22	463	1	435	0.0e+00	510.6	pfam01425	Amidase	435
638124892	95	100	19	90	4	72	2.1e-23	81.5	pfam02686	Glu-tRNAGln	72
638124893	347	100	10	341	2	324	0.0e+00	491.4	pfam06723	MreB_Mbl	327
638124894	310	100	109	260	2	151	9.4e-38	128.7	pfam04085	MreC	154
638124895	162	100	5	155	5	158	2.5e-30	105.1	pfam04093	MreD	160
638124896	630	100	63	236	2	176	3.7e-44	150.5	pfam03717	PBP_dimer	177
638124896	630	100	267	607	1	304	2.0e-70	236.9	pfam00905	Transpeptidase	304
638124897	383	100	31	380	6	358	6.7e-109	363.6	pfam01098	FTSW_RODA_SPOVE	359
638124899	324	100	86	176	3	77	3.3e-21	74.7	pfam03330	DPBB_1	78
638124899	324	100	250	321	1	73	3.5e-12	45.9	pfam05036	SPOR	76
638124900	381	100	26	256	5	239	6.3e-79	264.3	pfam00768	Peptidase_S11	241
638124900	381	100	275	365	1	90	3.3e-18	65.1	pfam07943	PBP5_C	91
638124901	286	100	44	275	1	231	1.8e-37	128.8	pfam01063	Aminotran_4	232
638124902	92	100	3	92	4	90	1.3e-26	92.4	pfam04359	DUF493	90
638124903	215	100	48	162	13	125	2.0e-15	56.6	pfam03099	BPL_LplA_LipB	125
638124904	200	100	13	196	1	180	1.4e-49	167.5	pfam04955	HupE_UreJ	180
638124905	293	100	65	269	1	210	3.3e-58	196.3	pfam01774	UreD	210
638124906	100	100	1	99	1	99	1.6e-47	159.2	pfam00547	Urease_gamma	99
638124907	106	100	2	101	1	99	2.2e-44	149	pfam00699	Urease_beta	100
638124908	568	100	3	120	2	121	3.1e-56	188.4	pfam00449	Urease_alpha	121
638124908	568	100	126	437	1	328	3.3e-72	243.6	pfam01979	Amidohydro_1	328
638124909	163	100	1	64	7	65	3.5e-18	64.5	pfam02814	UreE_N	65
638124909	163	100	70	163	2	86	1.3e-31	108.1	pfam05194	UreE_C	87
638124910	228	100	41	188	1	145	5.1e-48	162.5	pfam01730	UreF	146
638124911	211	100	7	180	3	172	1.9e-37	128	pfam02492	cobW	173
638124913	567	100	273	550	3	266	1.1e-48	165.2	pfam02653	BPD_transp_2	267
638124914	364	100	50	344	2	266	1.3e-39	135.4	pfam02653	BPD_transp_2	267
638124915	280	100	77	208	1	117	9.0e-20	70.8	pfam00005	ABC_tran	118
638124915	280	100	255	277	2	23	2.9e-10	39.2	pfam12399	BCA_ABC_TP_C	23
638124916	229	100	41	159	1	116	5.2e-21	74.8	pfam00005	ABC_tran	118
638124917	425	100	12	302	3	297	2.2e-35	121.7	pfam07690	MFS_1	353
638124918	338	100	65	259	29	145	3.1e-06	26.6	pfam09084	NMT1	216
638124919	335	100	37	229	5	173	7.5e-11	41.1	pfam04952	AstE_AspA	292
638124921	223	100	2	142	1	126	1.3e-20	73.4	pfam00483	NTP_transferase	248
638124922	336	100	29	263	2	225	2.8e-23	82.5	pfam01636	APH	238
638124923	757	100	4	199	22	144	2.2e-07	30.1	pfam03968	OstA	145
638124923	757	100	303	675	2	379	1.4e-83	280.8	pfam04453	OstA_C	382
638124924	433	100	31	148	1	118	1.5e-41	140.6	pfam09312	SurA_N	118
638124924	433	100	181	277	1	95	4.4e-21	75.1	pfam00639	Rotamase	95
638124924	433	100	293	386	1	95	2.8e-28	98.1	pfam00639	Rotamase	95
638124925	331	100	25	320	9	298	2.3e-109	364.9	pfam04166	PdxA	299
638124926	79	100	3	79	1	78	6.6e-16	58.2	pfam02597	ThiS	78
638124927	432	100	20	264	1	237	1.0e-27	96.5	pfam07690	MFS_1	353
638124928	353	100	47	320	1	291	1.4e-61	207.6	pfam04952	AstE_AspA	292
638124930	294	100	6	154	5	140	1.8e-16	60.2	pfam00582	Usp	140
638124930	294	100	165	293	5	139	4.7e-18	65.4	pfam00582	Usp	140
638124931	128	100	60	115	21	58	1.7e-05	23.9	pfam07883	Cupin_2	71
638124932	191	100	9	55	1	46	3.8e-12	45.3	pfam00440	TetR_N	47
638124933	415	100	33	281	4	251	2.4e-72	242.8	pfam02784	Orn_Arg_deC_N	251
638124933	415	100	284	390	1	116	2.1e-20	72.2	pfam00278	Orn_DAP_Arg_deC	116
638124935	226	100	7	224	7	214	1.5e-52	177.9	pfam02230	Abhydrolase_2	216
638124936	164	100	1	97	8	79	4.8e-13	48.6	pfam00254	FKBP_C	96
638124937	300	100	36	177	10	135	3.8e-23	81.5	pfam02613	Nitrate_red_del	136
638124938	397	100	41	336	6	311	1.9e-22	79.7	pfam03916	NrfD	313
638124939	249	100	85	108	2	22	1.1e-07	30.8	pfam00037	Fer4	24
638124940	837	100	55	109	2	54	3.5e-13	48.8	pfam04879	Molybdop_Fe4S4	55
638124940	837	100	112	569	1	431	6.8e-36	123.6	pfam00384	Molybdopterin	432
638124940	837	100	700	831	29	105	1.1e-09	37.7	pfam01568	Molydop_binding	109
638124941	428	100	317	340	3	24	9.0e-07	27.9	pfam00037	Fer4	24
638124943	488	100	182	254	2	70	9.7e-11	41.3	pfam00672	HAMP	70
638124943	488	100	270	336	3	61	4.7e-06	26.2	pfam00512	HisKA	68
638124943	488	100	374	477	4	111	5.7e-21	74	pfam02518	HATPase_c	111
638124944	444	100	5	116	2	112	3.5e-17	62.1	pfam00072	Response_reg	112
638124944	444	100	134	302	3	167	5.9e-64	214.2	pfam00158	Sigma54_activat	168
638124944	444	100	397	438	2	42	1.3e-12	46.7	pfam02954	HTH_8	42
638124945	381	100	17	362	2	286	1.2e-79	267.1	pfam00923	Transaldolase	287
638124946	128	100	19	108	2	90	8.2e-36	121.5	pfam04379	DUF525	90
638124947	279	100	1	233	2	197	5.1e-15	55.1	pfam00149	Metallophos	200
638124948	186	100	25	174	29	130	2.1e-27	95.4	pfam01510	Amidase_2	130
638124949	697	100	5	169	2	162	9.2e-68	226.7	pfam03190	DUF255	163
638124950	162	100	1	82	1	81	2.0e-23	81.9	pfam02082	Rrf2	83
638124951	390	100	1	378	3	379	2.3e-115	385.2	pfam05940	NnrS	379
638124952	331	100	4	183	2	168	2.8e-34	117.7	pfam02492	cobW	173
638124952	331	100	242	323	3	94	9.9e-10	37.7	pfam07683	CobW_C	94
638124953	99	100	1	42	1	42	5.1e-19	67.6	pfam09723	CxxC_CxxC_SSSS	42
638124955	68	100	14	65	1	52	5.3e-20	70.6	pfam10981	DUF2788	52
638124956	398	100	6	350	2	348	3.8e-31	108.1	pfam01494	FAD_binding_3	356
638124958	223	100	122	213	2	41	1.4e-07	31.6	pfam03150	CCP_MauG	157
638124959	553	100	142	477	66	367	1.6e-85	286.9	pfam01645	Glu_synthase	368
638124960	193	100	22	148	6	119	4.8e-05	23.5	pfam11716	MDMPI_N	140
638124962	141	100	21	105	4	85	2.2e-08	34.1	pfam07681	DoxX	85
638124963	829	100	58	356	9	283	1.3e-54	184.8	pfam03133	TTL	294
638124966	184	100	81	177	1	97	2.8e-21	75.4	pfam00691	OmpA	97
638124967	428	100	8	129	3	119	2.8e-30	104.2	pfam04052	TolB_N	120
638124967	428	100	193	229	6	39	1.4e-04	21.1	pfam07676	PD40	39
638124967	428	100	238	273	6	38	9.0e-07	28.1	pfam07676	PD40	39
638124967	428	100	281	317	2	39	2.5e-13	49	pfam07676	PD40	39
638124967	428	100	318	362	7	37	2.0e-03	17.4	pfam07676	PD40	39
638124967	428	100	369	405	4	36	1.7e-02	14.5	pfam07676	PD40	39
638124968	333	100	54	326	105	288	9.0e-08	30.7	pfam10243	MIP-T3	538
638124968	333	100	231	329	4	95	1.8e-06	27.5	pfam06519	TolA	96
638124969	149	100	13	145	2	128	6.5e-28	97	pfam02472	ExbD	130
638124970	235	100	75	212	6	138	1.5e-44	150.7	pfam01618	MotA_ExbB	139
638124971	776	100	18	151	2	182	6.2e-28	97.2	pfam00390	malic	182
638124971	776	100	163	400	1	254	1.2e-70	237.7	pfam03949	Malic_M	255
638124971	776	100	428	749	2	319	3.3e-90	302.1	pfam01515	PTA_PTB	319
638124973	319	100	8	292	1	199	1.4e-37	128.9	pfam07992	Pyr_redox_2	202
638124973	319	100	148	231	2	78	1.3e-15	57.1	pfam00070	Pyr_redox	81
638124974	165	100	32	51	1	20	1.0e-07	30.9	pfam07963	N_methyl	20
638124974	165	100	62	165	1	107	3.5e-19	69.2	pfam00114	Pilin	108
638124975	137	100	13	129	13	90	6.3e-11	42.1	pfam01909	NTP_transf_2	93
638124977	145	100	6	25	1	20	4.0e-07	29	pfam07963	N_methyl	20
638124977	145	100	36	143	1	104	1.3e-13	51.2	pfam00114	Pilin	108
638124978	168	100	49	159	2	98	4.4e-14	52.2	pfam12019	GspH	114
638124979	140	100	5	27	1	17	1.3e-05	24.3	pfam07963	N_methyl	20
638124983	451	100	6	116	1	111	3.7e-30	103.9	pfam00072	Response_reg	112
638124983	451	100	135	302	2	167	5.7e-68	227.3	pfam00158	Sigma54_activat	168
638124983	451	100	407	448	2	42	1.9e-15	55.8	pfam02954	HTH_8	42
638124985	219	100	42	159	3	124	1.3e-19	69.8	pfam00156	Pribosyltran	125
638124986	882	100	266	882	107	501	2.5e-82	276.5	pfam00311	PEPcase	503
638124987	586	100	28	409	2	347	5.4e-102	341	pfam00180	Iso_dh	347
638124987	586	100	459	515	1	55	1.2e-08	34.1	pfam00571	CBS	57
638124987	586	100	525	580	1	53	3.2e-13	48.8	pfam00571	CBS	57
638124988	288	100	44	70	27	39	7.2e+00	7.1	pfam08238	Sel1	39
638124988	288	100	71	104	2	39	2.0e-04	21.5	pfam08238	Sel1	39
638124988	288	100	148	178	23	38	3.3e+01	4.9	pfam08238	Sel1	39
638124990	353	100	85	118	2	39	2.9e-03	17.9	pfam08238	Sel1	39
638124990	353	100	163	192	19	39	9.5e-02	13	pfam08238	Sel1	39
638124990	353	100	193	232	1	39	2.0e-03	18.3	pfam08238	Sel1	39
638124992	274	100	6	264	2	258	7.3e-64	215	pfam00398	RrnaAD	262
638124993	213	100	60	167	2	108	5.1e-26	90.2	pfam04367	DUF502	108
638124994	895	100	81	305	8	213	5.7e-15	54.6	pfam00456	Transketolase_N	333
638124994	895	100	354	442	214	275	1.9e-05	23.3	pfam00456	Transketolase_N	333
638124995	565	100	5	77	1	72	2.8e-21	74.6	pfam00364	Biotin_lipoyl	74
638124995	565	100	116	188	2	74	9.4e-22	76.1	pfam00364	Biotin_lipoyl	74
638124995	565	100	259	299	2	39	5.1e-15	54.5	pfam02817	E3_binding	39
638124995	565	100	334	565	2	231	7.6e-81	270.4	pfam00198	2-oxoacid_dh	231
638124996	593	100	5	92	2	74	5.1e-21	73.7	pfam00364	Biotin_lipoyl	74
638124996	593	100	128	439	1	199	2.1e-45	154.4	pfam07992	Pyr_redox_2	202
638124996	593	100	297	378	1	78	4.7e-18	65	pfam00070	Pyr_redox	81
638124996	593	100	467	576	1	109	1.1e-33	115.2	pfam02852	Pyr_redox_dim	110
638124997	295	100	110	288	21	162	1.3e-19	69.9	pfam05175	MTS	170
638124998	91	100	4	70	1	68	4.3e-09	36.2	pfam03966	Trm112p	68
638124999	415	100	18	57	2	40	5.0e-14	51.2	pfam06689	zf-C4_ClpX	41
638124999	415	100	115	306	3	170	9.1e-34	116.5	pfam07724	AAA_2	171
638124999	415	100	312	401	1	81	4.6e-14	51.7	pfam10431	ClpB_D2-small	89
638125000	358	100	22	342	8	269	8.8e-88	293.2	pfam00793	DAHP_synth_1	272
638125001	143	100	101	136	2	33	1.2e-10	40.5	pfam01258	zf-dskA_traR	36
638125002	251	100	4	192	2	199	5.0e-08	32.2	pfam00149	Metallophos	200
638125002	251	100	198	235	3	38	4.4e-14	51.4	pfam08413	Metallophos_C	38
638125003	361	100	65	180	5	116	3.0e-40	136.2	pfam03462	PCRF	116
638125003	361	100	210	323	6	114	9.1e-41	137.9	pfam00472	RF-1	114
638125004	446	100	6	155	1	151	5.3e-53	178.3	pfam05201	GlutR_N	152
638125004	446	100	169	304	2	135	6.1e-39	132.8	pfam01488	Shikimate_DH	135
638125004	446	100	317	416	2	100	1.7e-25	88.5	pfam00745	GlutR_dimer	101
638125005	584	100	539	564	5	26	2.6e-03	17.7	pfam07721	TPR_4	26
638125006	200	100	42	196	3	157	6.3e-37	126.2	pfam03550	LolB	157
638125007	291	100	87	145	1	67	9.9e-10	38	pfam00288	GHMP_kinases_N	68
638125007	291	100	188	262	22	79	1.3e-07	31.2	pfam08544	GHMP_kinases_C	82
638125009	318	100	149	253	29	123	1.1e-12	47.4	pfam00156	Pribosyltran	125
638125010	214	100	8	95	1	88	2.1e-29	101.1	pfam01386	Ribosomal_L25p	88
