gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
637861650	289	100	129	286	1	161	5.3e-44	149.3	pfam00990	GGDEF	161
637861651	398	100	10	260	1	260	5.7e-44	150	pfam07690	MFS_1	353
637861652	333	100	1	176	13	183	1.0e-17	64.4	pfam01087	GalP_UDP_transf	183
637861653	475	100	2	237	1	241	4.0e-77	258.6	pfam08323	Glyco_transf_5	241
637861653	475	100	286	446	14	157	1.4e-12	47	pfam00534	Glycos_transf_1	172
637861655	413	100	218	251	1	34	9.1e-08	31.1	pfam07719	TPR_2	34
637861655	413	100	316	412	5	96	1.2e-23	82.4	pfam06262	DUF1025	97
637861657	376	100	4	347	1	357	1.0e-69	234.8	pfam01266	DAO	358
637861658	208	100	21	67	1	46	1.6e-11	43.3	pfam00440	TetR_N	47
637861659	418	100	16	162	1	150	4.3e-47	159.3	pfam00817	IMS	150
637861659	418	100	173	205	2	33	6.9e-08	31.7	pfam11798	IMS_HHH	33
637861659	418	100	217	343	3	124	1.4e-14	54.3	pfam11799	IMS_C	135
637861661	250	100	15	216	1	199	3.4e-11	42.5	pfam00149	Metallophos	200
637861662	126	100	7	116	1	112	4.8e-20	71.3	pfam00072	Response_reg	112
637861663	321	100	244	309	2	64	4.3e-05	22.8	pfam02272	DHHA1	68
637861664	321	100	2	132	3	127	8.7e-39	131.7	pfam02603	Hpr_kinase_N	127
637861664	321	100	133	303	3	171	3.8e-70	234.3	pfam07475	Hpr_kinase_C	171
637861665	294	100	10	294	2	284	4.4e-97	324.2	pfam03668	ATP_bind_2	284
637861666	138	100	2	116	1	113	2.7e-27	94.8	pfam03610	EIIA-man	116
637861667	164	100	1	152	1	149	1.4e-35	122.1	pfam03830	PTSIIB_sorb	151
637861668	231	100	1	231	9	216	1.0e-15	57.3	pfam03609	EII-Sor	237
637861669	255	100	3	199	3	190	7.7e-54	182	pfam03613	EIID-AGA	264
637861670	90	100	3	86	2	84	3.8e-31	106.5	pfam00381	PTS-HPr	84
637861671	599	100	9	137	1	122	6.4e-31	106.3	pfam05524	PEP-utilisers_N	123
637861671	599	100	154	236	4	81	1.2e-24	85.3	pfam00391	PEP-utilizers	81
637861671	599	100	261	551	7	292	3.8e-95	317.8	pfam02896	PEP-utilizers_C	294
637861672	390	100	4	103	2	100	5.3e-43	144.9	pfam00438	S-AdoMet_synt_N	100
637861672	390	100	110	227	3	120	4.2e-48	161.9	pfam02772	S-AdoMet_synt_M	120
637861672	390	100	229	368	1	138	2.2e-67	224.7	pfam02773	S-AdoMet_synt_C	138
637861673	326	100	28	74	1	43	1.3e-09	37.2	pfam01022	HTH_5	47
637861673	326	100	166	260	2	95	2.2e-23	82.1	pfam08241	Methyltransf_11	95
637861674	491	100	18	490	2	268	0.0e+00	434.7	pfam05221	AdoHcyase	268
637861674	491	100	251	411	1	162	5.3e-82	273.1	pfam00670	AdoHcyase_NAD	162
637861675	292	100	5	265	2	258	2.8e-79	265.6	pfam02673	BacA	259
637861676	196	100	34	160	5	118	1.8e-14	53.2	pfam00293	NUDIX	135
637861677	362	100	4	292	2	242	6.0e-50	169.5	pfam00483	NTP_transferase	248
637861677	362	100	321	362	1	40	4.0e-07	29.4	pfam01050	MannoseP_isomer	151
637861678	456	100	6	140	2	134	3.3e-33	113.7	pfam02878	PGM_PMM_I	138
637861678	456	100	152	251	2	105	2.8e-26	91.5	pfam02879	PGM_PMM_II	105
637861678	456	100	255	367	2	111	7.1e-25	86.9	pfam02880	PGM_PMM_III	111
637861678	456	100	372	450	17	70	5.6e-12	45.1	pfam00408	PGM_PMM_IV	73
637861679	320	100	7	197	1	176	5.6e-42	143.2	pfam00480	ROK	179
637861680	496	100	4	171	4	162	1.3e-35	122.5	pfam05833	FbpA	453
637861680	496	100	179	360	277	436	1.0e-30	106.4	pfam05833	FbpA	453
637861680	496	100	368	457	4	90	3.1e-21	74.7	pfam05670	DUF814	90
637861681	247	100	127	233	1	91	1.6e-07	30.8	pfam10263	SprT-like	159
637861682	657	100	14	97	7	78	1.1e-06	28.6	pfam07244	Surf_Ag_VNR	78
637861682	657	100	182	258	2	77	6.2e-05	23	pfam07244	Surf_Ag_VNR	78
637861682	657	100	263	656	11	304	4.6e-38	131.1	pfam01103	Bac_surface_Ag	323
637861683	1504	100	1146	1504	3	368	5.7e-60	203	pfam04357	DUF490	368
637861684	393	100	71	301	3	237	9.2e-08	31.5	pfam09594	DUF2029	241
637861685	220	100	38	168	2	122	1.7e-13	50.5	pfam09335	SNARE_assoc	123
637861686	326	100	205	284	49	113	1.1e-09	38.2	pfam01841	Transglut_core	113
637861688	382	100	81	379	2	170	1.4e-16	60.2	pfam01546	Peptidase_M20	171
637861688	382	100	181	284	2	107	2.1e-20	72.1	pfam07687	M20_dimer	109
637861689	354	100	8	148	1	121	1.8e-28	98.9	pfam01118	Semialdhyde_dh	121
637861689	354	100	165	324	1	184	5.1e-12	45.7	pfam02774	Semialdhyde_dhC	184
637861690	270	100	2	248	1	242	3.7e-40	137.6	pfam00696	AA_kinase	243
637861692	621	100	252	577	1	331	2.2e-35	122	pfam00884	Sulfatase	379
637861693	389	100	136	204	2	65	6.2e-08	32.2	pfam00512	HisKA	68
637861693	389	100	247	355	2	110	7.0e-23	80.1	pfam02518	HATPase_c	111
637861695	265	100	7	224	5	213	4.6e-13	49	pfam03502	Channel_Tsx	262
637861696	348	100	1	343	1	337	1.5e-104	348.7	pfam04958	AstA	338
637861697	149	100	2	145	1	145	1.5e-53	180.3	pfam02580	Tyr_Deacylase	145
637861698	114	100	11	109	1	97	5.2e-25	87.5	pfam01230	HIT	98
637861699	297	100	8	222	1	221	1.1e-53	181.1	pfam03328	HpcH_HpaI	221
637861700	117	100	1	114	1	117	2.3e-43	146.7	pfam07736	CM_1	118
637861701	288	100	28	278	1	246	1.3e-40	138.5	pfam02153	PDH	258
637861702	440	100	12	427	4	418	7.0e-113	376.8	pfam00275	EPSP_synthase	419
637861703	278	100	11	93	1	83	1.8e-26	91.6	pfam08501	Shikimate_dh_N	83
637861703	278	100	113	225	10	88	1.2e-09	38	pfam01488	Shikimate_DH	135
637861704	381	100	3	359	1	346	5.1e-116	386.6	pfam01264	Chorismate_synt	346
637861705	162	100	15	162	1	156	2.9e-28	98.4	pfam01202	SKI	158
637861706	389	100	39	339	1	312	9.5e-84	280.6	pfam01761	DHQ_synthase	313
637861707	156	100	1	139	3	138	3.7e-57	191.2	pfam01220	DHquinase_II	140
637861708	334	100	5	173	2	166	1.3e-24	86.5	pfam00535	Glycos_transf_2	169
637861709	158	100	8	144	2	141	7.5e-38	129.1	pfam00210	Ferritin	142
637861710	194	100	125	176	2	48	9.8e-09	34.8	pfam04324	Fer2_BFD	54
637861713	299	100	15	61	1	48	5.0e-09	35.1	pfam01479	S4	48
637861713	299	100	89	235	2	164	5.0e-31	107.4	pfam00849	PseudoU_synth_2	164
637861714	91	100	1	40	1	42	1.5e-15	56.5	pfam09723	CxxC_CxxC_SSSS	42
637861718	316	100	5	290	2	300	5.1e-49	166.4	pfam02628	COX15-CtaA	301
637861721	608	100	390	499	1	108	5.2e-23	80.5	pfam01926	MMR_HSR1	108
637861724	415	100	16	367	5	340	9.2e-19	67	pfam07690	MFS_1	353
637861726	202	100	12	196	1	186	7.4e-15	54.3	pfam01810	LysE	192
637861727	289	100	33	245	22	224	3.2e-34	118.1	pfam01435	Peptidase_M48	225
637861729	379	100	10	240	1	237	1.8e-37	128.9	pfam00696	AA_kinase	243
637861729	379	100	283	357	1	73	1.2e-15	56.6	pfam01472	PUA	74
637861730	427	100	4	301	28	287	1.1e-13	50	pfam00171	Aldedh	462
637861731	107	100	1	97	5	100	2.1e-31	107.6	pfam02410	DUF143	100
637861732	271	100	79	176	1	95	3.0e-12	46.5	pfam08241	Methyltransf_11	95
637861733	563	100	125	161	2	36	5.3e-06	26.2	pfam09698	GSu_C4xC__C2xCH	36
637861733	563	100	306	341	1	36	3.1e-07	30.1	pfam09698	GSu_C4xC__C2xCH	36
637861734	296	100	18	143	2	124	9.6e-20	70.5	pfam00892	EamA	126
637861734	296	100	167	292	2	124	9.4e-13	48	pfam00892	EamA	126
637861735	353	100	8	264	2	255	1.0e-56	191.6	pfam00069	Pkinase	260
637861736	1200	100	17	249	2	229	2.6e-77	259.1	pfam01855	POR_N	230
637861736	1200	100	434	618	1	170	8.4e-23	80.8	pfam01558	POR	173
637861736	1200	100	628	687	6	59	2.8e-24	84.1	pfam10371	EKR	60
637861736	1200	100	958	1081	45	149	2.9e-13	49.3	pfam02775	TPP_enzyme_C	150
637861737	138	100	12	67	2	56	1.6e-05	24.9	pfam01814	Hemerythrin	59
637861737	138	100	73	126	6	53	3.7e+00	7.8	pfam01814	Hemerythrin	59
637861738	298	100	8	124	5	114	2.1e-06	27.2	pfam01797	Transposase_17	121
637861739	324	100	4	251	2	238	7.2e-55	185.7	pfam01370	Epimerase	238
637861740	322	100	77	249	3	172	1.3e-54	183.9	pfam03808	Glyco_tran_WecB	172
637861742	389	100	212	379	112	275	1.9e-07	30.1	pfam03372	Exo_endo_phos	276
637861743	380	100	73	185	1	111	4.7e-11	42.2	pfam00529	HlyD	306
637861744	1054	100	3	1022	1	1019	0.0e+00	887.4	pfam00873	ACR_tran	1021
637861745	171	100	45	169	13	117	1.7e-10	40.7	pfam02635	DrsE	119
637861746	201	100	7	53	1	47	2.0e-15	55.8	pfam00440	TetR_N	47
637861747	474	100	5	251	1	175	2.1e-07	29.9	pfam01266	DAO	358
637861748	202	100	24	95	1	67	1.4e-15	56.3	pfam04542	Sigma70_r2	71
637861748	202	100	123	176	4	54	8.1e-13	47.3	pfam08281	Sigma70_r4_2	54
637861751	153	100	1	152	1	155	6.6e-47	158.7	pfam02590	SPOUT_MTase	155
637861752	852	100	299	609	6	273	3.6e-51	173.7	pfam00082	Peptidase_S8	307
637861753	516	100	5	511	1	261	2.7e-91	305.1	pfam01676	Metalloenzyme	262
637861753	516	100	83	308	1	223	8.7e-84	280	pfam06415	iPGM_N	223
637861754	228	100	129	225	41	124	3.2e-10	39.5	pfam00156	Pribosyltran	125
637861755	1256	100	898	990	18	76	2.1e-07	30.8	pfam01841	Transglut_core	113
637861758	192	100	11	104	2	96	1.2e-30	104.8	pfam04993	TfoX_N	97
637861759	379	100	8	179	2	158	2.5e-19	69.7	pfam04055	Radical_SAM	166
637861759	379	100	258	368	3	117	1.2e-21	76.7	pfam06969	HemN_C	118
637861761	690	100	29	637	1	616	9.8e-82	275	pfam03169	OPT	617
637861763	287	100	2	285	4	278	6.6e-67	225.3	pfam06325	PrmA	295
637861764	240	100	18	234	2	225	1.6e-56	190.6	pfam04452	Methyltrans_RNA	225
637861765	341	100	193	334	2	133	4.1e-22	78.2	pfam06271	RDD	133
637861766	834	100	38	145	1	105	3.9e-15	55.5	pfam05157	GSPII_E_N	109
637861767	519	100	31	517	1	493	0.0e+00	663.9	pfam01039	Carboxyl_trans	493
637861768	218	100	41	137	6	104	9.2e-07	28.8	pfam09990	DUF2231	104
637861769	67	100	1	67	1	66	1.1e-33	114.4	pfam00313	CSD	67
637861770	391	100	32	366	14	308	8.7e-45	152.9	pfam03060	NPD	323
637861772	244	100	60	186	3	134	2.7e-29	101	pfam01553	Acyltransferase	135
637861773	405	100	181	247	7	65	9.1e-11	41.2	pfam00512	HisKA	68
637861773	405	100	291	400	2	110	4.9e-25	87.1	pfam02518	HATPase_c	111
637861774	510	100	6	115	2	110	3.2e-44	149.2	pfam00289	CPSase_L_chain	110
637861774	510	100	120	329	2	208	1.1e-79	266.3	pfam02786	CPSase_L_D2	211
637861774	510	100	340	446	1	105	4.8e-37	125.8	pfam02785	Biotin_carb_C	107
637861775	170	100	102	169	3	72	9.0e-21	73	pfam00364	Biotin_lipoyl	74
637861776	549	100	28	543	1	516	0.0e+00	704.1	pfam01642	MM_CoA_mutase	516
637861777	605	100	400	468	1	63	2.1e-13	49.4	pfam00226	DnaJ	64
637861778	187	100	15	96	6	84	5.3e-19	67.6	pfam01985	CRS1_YhbY	84
637861781	189	100	2	182	31	202	1.4e-41	141.6	pfam05683	Fumerase_C	206
637861782	312	100	85	249	2	163	1.9e-29	102.2	pfam00849	PseudoU_synth_2	164
637861783	148	100	7	138	2	129	2.2e-19	69.4	pfam02472	ExbD	130
637861784	139	100	7	133	4	127	7.8e-24	83.8	pfam02472	ExbD	130
637861785	252	100	124	237	34	135	1.7e-32	111.6	pfam01618	MotA_ExbB	139
637861786	264	100	191	263	14	78	1.2e-06	28.2	pfam03544	TonB	79
637861789	219	100	4	41	1	36	2.2e-09	36.5	pfam00627	UBA	37
637861789	219	100	57	99	1	41	1.7e-12	46.8	pfam00889	EF_TS	221
637861789	219	100	92	198	121	221	9.7e-34	116.2	pfam00889	EF_TS	221
637861790	301	100	4	220	1	211	4.5e-86	287.1	pfam00318	Ribosomal_S2	211
637861791	354	100	35	135	4	81	2.8e-12	45.9	pfam06054	CoiA	375
637861792	86	100	1	69	63	123	1.6e-14	53.3	pfam00578	AhpC-TSA	124
637861793	437	100	156	434	5	282	1.2e-34	119.6	pfam01189	Nol1_Nop2_Fmu	283
637861794	280	100	2	123	1	116	2.1e-27	95.4	pfam01149	Fapy_DNA_glyco	116
637861794	280	100	139	227	1	76	1.6e-14	53.1	pfam06831	H2TH	93
637861794	280	100	247	280	1	28	1.5e-07	30.6	pfam06827	zf-FPG_IleRS	30
637861795	283	100	81	258	1	198	1.3e-42	145.4	pfam01351	RNase_HII	198
637861796	549	100	71	201	1	125	5.3e-33	113.6	pfam01743	PolyA_pol	126
637861797	251	100	14	223	1	243	1.6e-25	89.8	pfam00696	AA_kinase	243
637861798	188	100	22	186	2	164	4.3e-64	214.6	pfam01765	RRF	165
637861802	569	100	6	193	1	164	5.2e-12	45.1	pfam00795	CN_hydrolase	184
637861802	569	100	293	544	2	242	1.0e-73	246.9	pfam02540	NAD_synthase	242
637861803	301	100	143	285	15	160	2.7e-13	49.5	pfam00990	GGDEF	161
637861805	114	100	19	76	3	54	6.5e-08	31.4	pfam00196	GerE	58
637861806	665	100	8	340	3	331	5.5e-129	429.4	pfam00456	Transketolase_N	333
637861806	665	100	353	526	4	176	6.1e-43	146	pfam02779	Transket_pyr	178
